,hour,MISO System,Illinois Hub,Michigan Hub,Minnesota Hub,Indiana Hub,Arkansas Hub,Louisiana Hub,Texas Hub,MS.HUB,year,month,day,hour_of_year
0,1,63.45,71.9,68.98,25.6,74.56,57.85,66.23,65.59,65.53,2022,6,16,3985.0
1,2,54.5,62.44000000000001,59.11,23.1,64.51,54.22,57.19,57.31,56.34,2022,6,16,3986.0
2,3,51.42,53.53,54.78,26.12,55.99,50.75,53.27,53.55,52.5,2022,6,16,3987.0
3,4,44.09,47.91,47.81,6.34,50.2,44.65,47.18,47.3,46.37,2022,6,16,3988.0
4,5,50.22,55.62,55.0,5.93,58.21,50.77,53.46,53.59,52.69,2022,6,16,3989.0
5,6,56.29,60.21,62.13,6.92,63.23,55.97,58.8,58.91,58.11,2022,6,16,3990.0
6,7,55.58,70.35000000000001,63.02,9.22,68.19,56.01,58.89,59.1,58.19,2022,6,16,3991.0
7,8,74.69,119.01,85.33,25.98,89.45,73.13,77.01,76.73,76.47,2022,6,16,3992.0
8,9,97.5,169.16,126.78,41.24,133.54,73.23,78.12,76.99,77.84,2022,6,16,3993.0
9,10,78.47,94.74,106.88,21.0,105.32,73.03,69.49,71.81,59.54,2022,6,16,3994.0
10,11,119.84,199.3,166.74,24.4,170.65,89.93,82.79,143.71,58.31,2022,6,16,3995.0
11,12,142.22,222.18,180.42,21.18,171.78,83.69,126.46,114.46,131.35,2022,6,16,3996.0
12,13,167.31,245.57,206.87,28.17,207.66,127.57,159.92000000000002,152.66,164.07,2022,6,16,3997.0
13,14,127.14,169.57,155.8,45.21,167.43,113.45,133.3,129.47,134.22,2022,6,16,3998.0
14,15,135.04,186.95,164.15,-13.02,186.0,114.56,141.99,135.65,143.87,2022,6,16,3999.0
15,16,138.42000000000002,182.93,174.24,-62.28,194.61,107.57,144.49,135.67000000000002,147.95000000000002,2022,6,16,4000.0
16,17,173.99,203.85,225.86,-40.76,244.46,117.26,179.76,169.48,184.32,2022,6,16,4001.0
17,18,129.21,160.62,173.13,-1.3,181.06,121.22,160.13,157.70000000000002,159.57,2022,6,16,4002.0
18,19,150.09,195.21,227.65,20.88,238.86,98.81,165.82,151.23,171.58,2022,6,16,4003.0
19,20,102.9,128.88,131.35,24.85,136.04,76.05,116.39,111.68,117.97,2022,6,16,4004.0
20,21,104.54,129.1,135.35,23.29,134.79,87.59,121.5,118.63,122.31,2022,6,16,4005.0
21,22,82.51,105.29,106.84,9.96,108.29,69.34,97.02,96.18,97.37,2022,6,16,4006.0
22,23,67.77,93.92,86.97,10.07,92.45,56.96,79.18,78.07000000000001,79.22,2022,6,16,4007.0
23,24,64.11,84.59,83.08,-47.41,87.07,59.05,77.05,75.27,76.84,2022,6,16,4008.0
24,1,22.73,14.95,16.01,56.36,15.82,41.89,57.3,50.35,36.68,2022,6,21,4105.0
