hour_of_year,PALOVRDE_ASR-APND LMP,SMD4_ASR-APND LMP,SMD5_ASR-APND LMP,SMD6_ASR-APND LMP,SMD7_ASR-APND LMP,SMD8_ASR-APND LMP,SMD9_ASR-APND LMP,SMDA_ASR-APND LMP,SMDB_ASR-APND LMP,SMDC_ASR-APND LMP,SMDG_ASR-APND LMP,SMDH_ASR-APND LMP,SUMMIT_ASR-APND LMP,PALOVRDE_ASR-APND (Congestion),SMD4_ASR-APND (Congestion),SMD5_ASR-APND (Congestion),SMD6_ASR-APND (Congestion),SMD7_ASR-APND (Congestion),SMD8_ASR-APND (Congestion),SMD9_ASR-APND (Congestion),SMDA_ASR-APND (Congestion),SMDB_ASR-APND (Congestion),SMDC_ASR-APND (Congestion),SMDG_ASR-APND (Congestion),SMDH_ASR-APND (Congestion),SUMMIT_ASR-APND (Congestion),PALOVRDE_ASR-APND (Energy),SMD4_ASR-APND (Energy),SMD5_ASR-APND (Energy),SMD6_ASR-APND (Energy),SMD7_ASR-APND (Energy),SMD8_ASR-APND (Energy),SMD9_ASR-APND (Energy),SMDA_ASR-APND (Energy),SMDB_ASR-APND (Energy),SMDC_ASR-APND (Energy),SMDG_ASR-APND (Energy),SMDH_ASR-APND (Energy),SUMMIT_ASR-APND (Energy),PALOVRDE_ASR-APND (Loss),SMD4_ASR-APND (Loss),SMD5_ASR-APND (Loss),SMD6_ASR-APND (Loss),SMD7_ASR-APND (Loss),SMD8_ASR-APND (Loss),SMD9_ASR-APND (Loss),SMDA_ASR-APND (Loss),SMDB_ASR-APND (Loss),SMDC_ASR-APND (Loss),SMDG_ASR-APND (Loss),SMDH_ASR-APND (Loss),SUMMIT_ASR-APND (Loss)
1,44.50408,61.76591,61.76591,61.76591,61.76591,61.76591,61.76591,61.76591,61.76591,61.76591,61.76591,61.76591,45.97673,-0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,-0.0012,60.00066,60.00066,60.00066,60.00066,60.00066,60.00066,60.00066,60.00066,60.00066,60.00066,60.00066,60.00066,60.00066,-2.54538,1.76405,1.76405,1.76405,1.76405,1.76405,1.76405,1.76405,1.76405,1.76405,1.76405,1.76405,-1.07273
2,45.4288,57.6212,57.6212,57.6212,57.6212,57.6212,57.6212,57.6212,57.6212,57.6212,57.6212,57.6212,45.43,-0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0,57.62,57.62,57.62,57.62,57.62,57.62,57.62,57.62,57.62,57.62,57.62,57.62,57.62,0,0,0,0,0,0,0,0,0,0,0,0,0
3,33.92007,65.3443,65.3443,65.3443,65.3443,65.3443,65.3443,65.3443,65.3443,65.3443,65.3443,65.3443,48.07173,-14.08755,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,63.59662,63.59662,63.59662,63.59662,63.59662,63.59662,63.59662,63.59662,63.59662,63.59662,63.59662,63.59662,63.59662,-1.959,1.74887,1.74887,1.74887,1.74887,1.74887,1.74887,1.74887,1.74887,1.74887,1.74887,1.74887,-1.89369
4,29.10081,68.00272,68.00272,68.00272,68.00272,68.00272,68.00272,68.00272,68.00272,68.00272,68.00272,68.00272,48.92387,-20.1482,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,65.94643,65.94643,65.94643,65.94643,65.94643,65.94643,65.94643,65.94643,65.94643,65.94643,65.94643,65.94643,65.94643,-1.67741,2.05749,2.05749,2.05749,2.05749,2.05749,2.05749,2.05749,2.05749,2.05749,2.05749,2.05749,-2.00136
5,29.42,70.55483,70.55483,70.55483,70.55483,70.55483,70.55483,70.55483,70.55483,70.55483,70.55483,70.55483,51.03916,-22.32778,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,68.38153,68.38153,68.38153,68.38153,68.38153,68.38153,68.38153,68.38153,68.38153,68.38153,68.38153,68.38153,68.38153,-1.61376,2.17449,2.17449,2.17449,2.17449,2.17449,2.17449,2.17449,2.17449,2.17449,2.17449,2.17449,-2.32117
6,38.33151,84.38305,84.38305,84.38305,84.38305,84.38305,84.38305,84.38305,84.38305,84.38305,84.38305,84.38305,58.99318,-21.28485,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,82.08588,82.08588,82.08588,82.08588,82.08588,82.08588,82.08588,82.08588,82.08588,82.08588,82.08588,82.08588,82.08588,-1.97078,2.29837,2.29837,2.29837,2.29837,2.29837,2.29837,2.29837,2.29837,2.29837,2.29837,2.29837,-2.59277
7,27.37699,95.76779,95.76779,95.76779,95.76779,95.76779,95.76779,95.76779,95.76779,95.76779,95.76779,95.76779,74.77255,-49.0451,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,92.92551,92.92551,92.92551,92.92551,92.92551,92.92551,92.92551,92.92551,92.92551,92.92551,92.92551,92.92551,92.92551,-1.48343,2.84348,2.84348,2.84348,2.84348,2.84348,2.84348,2.84348,2.84348,2.84348,2.84348,2.84348,-3.13175
8,55.57387,74.24115,74.24115,74.24115,74.24115,74.24115,74.24115,74.24115,74.24115,74.24115,74.24115,74.24115,59.3849,-0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,-0.0012,70.92758,70.92758,70.92758,70.92758,70.92758,70.92758,70.92758,70.92758,70.92758,70.92758,70.92758,70.92758,70.92758,-5.40251,3.31237,3.31237,3.31237,3.31237,3.31237,3.31237,3.31237,3.31237,3.31237,3.31237,3.31237,-1.59148
9,32.74262,38.35761,38.35761,38.35761,38.35761,38.35761,38.35761,38.35761,38.35761,38.35761,38.35761,38.35761,36.31712,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,36.43616,36.43616,36.43616,36.43616,36.43616,36.43616,36.43616,36.43616,36.43616,36.43616,36.43616,36.43616,36.43616,-3.69475,1.92025,1.92025,1.92025,1.92025,1.92025,1.92025,1.92025,1.92025,1.92025,1.92025,1.92025,-0.12024
10,23.47158,52.64344,52.64344,52.64344,52.64344,52.64344,52.64344,52.64344,52.64344,52.64344,52.64344,52.64344,38.96505,-11.37283,11.37523,11.37523,11.37523,11.37523,11.37523,11.37523,11.37523,11.37523,11.37523,11.37523,11.37523,0.0012,39.45708,39.45708,39.45708,39.45708,39.45708,39.45708,39.45708,39.45708,39.45708,39.45708,39.45708,39.45708,39.45708,-4.61267,1.81113,1.81113,1.81113,1.81113,1.81113,1.81113,1.81113,1.81113,1.81113,1.81113,1.81113,-0.49323
11,3.8552,40.48029,40.48029,40.48029,40.48029,40.48029,40.48029,40.48029,40.48029,40.48029,40.48029,40.48029,23.39161,-16.7859,15.82732,15.82732,15.82732,15.82732,15.82732,15.82732,15.82732,15.82732,15.82732,15.82732,15.82732,0.0012,23.59809,23.59809,23.59809,23.59809,23.59809,23.59809,23.59809,23.59809,23.59809,23.59809,23.59809,23.59809,23.59809,-2.95699,1.05489,1.05489,1.05489,1.05489,1.05489,1.05489,1.05489,1.05489,1.05489,1.05489,1.05489,-0.20767
12,5.97823,12.57868,12.57868,12.57868,12.57868,12.57868,12.57868,12.57868,12.57868,12.57868,12.57868,12.57868,9.72256,-2.51329,2.51569,2.51569,2.51569,2.51569,2.51569,2.51569,2.51569,2.51569,2.51569,2.51569,2.51569,0.0012,9.75943,9.75943,9.75943,9.75943,9.75943,9.75943,9.75943,9.75943,9.75943,9.75943,9.75943,9.75943,9.75943,-1.26791,0.30356,0.30356,0.30356,0.30356,0.30356,0.30356,0.30356,0.30356,0.30356,0.30356,0.30356,-0.03807
13,0.00105,0.00124,0.00124,0.00124,0.00124,0.00124,0.00124,0.00124,0.00124,0.00124,0.00124,0.00124,0.00118,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00015,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,-0.00002
14,0.79253,0.93891,0.93891,0.93891,0.93891,0.93891,0.93891,0.93891,0.93891,0.93891,0.93891,0.93891,0.89021,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.90403,0.90403,0.90403,0.90403,0.90403,0.90403,0.90403,0.90403,0.90403,0.90403,0.90403,0.90403,0.90403,-0.1127,0.03367,0.03367,0.03367,0.03367,0.03367,0.03367,0.03367,0.03367,0.03367,0.03367,0.03367,-0.01503
15,30.82625,36.27497,36.27497,36.27497,36.27497,36.27497,36.27497,36.27497,36.27497,36.27497,36.27497,36.27497,33.89116,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,34.74827,34.74827,34.74827,34.74827,34.74827,34.74827,34.74827,34.74827,34.74827,34.74827,34.74827,34.74827,34.74827,-3.92321,1.5255,1.5255,1.5255,1.5255,1.5255,1.5255,1.5255,1.5255,1.5255,1.5255,1.5255,-0.85831
16,64.51246,70.62241,70.62241,70.62241,70.62241,70.62241,70.62241,70.62241,70.62241,70.62241,70.62241,70.62241,68.57881,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,69.51145,69.51145,69.51145,69.51145,69.51145,69.51145,69.51145,69.51145,69.51145,69.51145,69.51145,69.51145,69.51145,-4.99779,1.11216,1.11216,1.11216,1.11216,1.11216,1.11216,1.11216,1.11216,1.11216,1.11216,1.11216,-0.93144
17,99.47884,122.36652,122.36652,122.36652,122.36652,122.36652,122.36652,122.36652,122.36652,122.36652,122.36652,122.36652,105.19847,-0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,-0.0012,119.86022,119.86022,119.86022,119.86022,119.86022,119.86022,119.86022,119.86022,119.86022,119.86022,119.86022,119.86022,119.86022,-7.43018,2.5051,2.5051,2.5051,2.5051,2.5051,2.5051,2.5051,2.5051,2.5051,2.5051,2.5051,-1.71054
18,88.57566,97.371,97.371,97.371,97.371,97.371,97.371,97.371,97.371,97.371,97.371,97.371,91.49196,0,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,0,95.30413,95.30413,95.30413,95.30413,95.30413,95.30413,95.30413,95.30413,95.30413,95.30413,95.30413,95.30413,95.30413,-6.72847,2.06807,2.06807,2.06807,2.06807,2.06807,2.06807,2.06807,2.06807,2.06807,2.06807,2.06807,-3.81217
19,71.99364,90.74418,90.74418,90.74418,90.74418,90.74418,90.74418,90.74418,90.74418,90.74418,90.74418,90.74418,73.47705,0,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,88.71386,88.71386,88.71386,88.71386,88.71386,88.71386,88.71386,88.71386,88.71386,88.71386,88.71386,88.71386,88.71386,-4.53021,2.03152,2.03152,2.03152,2.03152,2.03152,2.03152,2.03152,2.03152,2.03152,2.03152,2.03152,-3.0456
20,77.96709,93.7642,93.7642,93.7642,93.7642,93.7642,93.7642,93.7642,93.7642,93.7642,93.7642,93.7642,77.99053,0,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,91.89985,91.89985,91.89985,91.89985,91.89985,91.89985,91.89985,91.89985,91.89985,91.89985,91.89985,91.89985,91.89985,-3.98276,1.86554,1.86554,1.86554,1.86554,1.86554,1.86554,1.86554,1.86554,1.86554,1.86554,1.86554,-3.95812
21,67.78402,78.14229,78.14229,78.14229,78.14229,78.14229,78.14229,78.14229,78.14229,78.14229,78.14229,78.14229,66.87581,0,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,76.62631,76.62631,76.62631,76.62631,76.62631,76.62631,76.62631,76.62631,76.62631,76.62631,76.62631,76.62631,76.62631,-2.53135,1.51718,1.51718,1.51718,1.51718,1.51718,1.51718,1.51718,1.51718,1.51718,1.51718,1.51718,-3.43836
22,61.57553,78.76312,78.76312,78.76312,78.76312,78.76312,78.76312,78.76312,78.76312,78.76312,78.76312,78.76312,61.20463,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,77.6692,77.6692,77.6692,77.6692,77.6692,77.6692,77.6692,77.6692,77.6692,77.6692,77.6692,77.6692,77.6692,-2.37247,1.09512,1.09512,1.09512,1.09512,1.09512,1.09512,1.09512,1.09512,1.09512,1.09512,1.09512,-2.74337
23,57.60706,73.7411,73.7411,73.7411,73.7411,73.7411,73.7411,73.7411,73.7411,73.7411,73.7411,73.7411,58.03433,0,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,73.13528,73.13528,73.13528,73.13528,73.13528,73.13528,73.13528,73.13528,73.13528,73.13528,73.13528,73.13528,73.13528,-1.89822,0.60701,0.60701,0.60701,0.60701,0.60701,0.60701,0.60701,0.60701,0.60701,0.60701,0.60701,-1.46975
24,56.18998,71.33232,71.33232,71.33232,71.33232,71.33232,71.33232,71.33232,71.33232,71.33232,71.33232,71.33232,56.27582,0,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,70.51555,70.51555,70.51555,70.51555,70.51555,70.51555,70.51555,70.51555,70.51555,70.51555,70.51555,70.51555,70.51555,-1.81557,0.81797,0.81797,0.81797,0.81797,0.81797,0.81797,0.81797,0.81797,0.81797,0.81797,0.81797,-1.72853
25,55.25351,63.42741,63.42741,63.42741,63.42741,63.42741,63.42741,63.42741,63.42741,63.42741,63.42741,63.42741,55.58142,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,-0.0012,62.43964,62.43964,62.43964,62.43964,62.43964,62.43964,62.43964,62.43964,62.43964,62.43964,62.43964,62.43964,62.43964,-1.68539,0.98657,0.98657,0.98657,0.98657,0.98657,0.98657,0.98657,0.98657,0.98657,0.98657,0.98657,-1.35509
26,52.54215,65.37802,65.37802,65.37802,65.37802,65.37802,65.37802,65.37802,65.37802,65.37802,65.37802,65.37802,51.99109,0,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,-0.0012,64.1515,64.1515,64.1515,64.1515,64.1515,64.1515,64.1515,64.1515,64.1515,64.1515,64.1515,64.1515,64.1515,-1.36935,1.22532,1.22532,1.22532,1.22532,1.22532,1.22532,1.22532,1.22532,1.22532,1.22532,1.22532,-1.91921
27,54.1512,62.01,62.01,62.01,62.01,62.01,62.01,62.01,62.01,62.01,62.01,62.01,54.15,0,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,-0.0012,62.0088,62.0088,62.0088,62.0088,62.0088,62.0088,62.0088,62.0088,62.0088,62.0088,62.0088,62.0088,62.0088,0,0,0,0,0,0,0,0,0,0,0,0,0
28,53.38238,62.84498,62.84498,62.84498,62.84498,62.84498,62.84498,62.84498,62.84498,62.84498,62.84498,62.84498,53.25642,-0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0,61.15585,61.15585,61.15585,61.15585,61.15585,61.15585,61.15585,61.15585,61.15585,61.15585,61.15585,61.15585,61.15585,-1.8846,1.68793,1.68793,1.68793,1.68793,1.68793,1.68793,1.68793,1.68793,1.68793,1.68793,1.68793,-2.01176
29,52.47771,64.12786,64.12786,64.12786,64.12786,64.12786,64.12786,64.12786,64.12786,64.12786,64.12786,64.12786,51.97651,-0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0,62.47723,62.47723,62.47723,62.47723,62.47723,62.47723,62.47723,62.47723,62.47723,62.47723,62.47723,62.47723,62.47723,-1.53949,1.64943,1.64943,1.64943,1.64943,1.64943,1.64943,1.64943,1.64943,1.64943,1.64943,1.64943,-2.0419
